['云南锡业集团有限责任公司', '( 以下 简称 “', '锡业集团']
['云南省产权交易所', '( 以下 简称 “', '云交所']
['锡业集团', '持有 的 个旧圣比和实业有限公司 ( 以下 简称 “ 标的 公司 ” 或 “ ( 以下 简称 “ 标的 公司 ” 或 “', '圣比和实业']
['个旧圣比和实业有限公司', '( 以下 简称 “ 标的 公司 ” 或 “', '圣比和实业']
['四川升华电源科技有限公司', '( 以下 简称 “', '升华电源']
['金杯汽车股份有限公司', '( 以下 简称 “ 公司 ” ) 收到', '华晨汽车集团控股有限公司']
['金杯汽车股份有限公司', '( 以下 简称 “ 公司 ” ) 收到 华晨汽车集团控股有限公司 ( 以下 简称 “ ( 以下 简称 “', '华晨集团']
['华晨汽车集团控股有限公司', '( 以下 简称 “', '华晨集团']
['华晨汽车集团控股有限公司', '( 以下 简称 “ 华晨集团 ” ) 转来 的 ” ) 转来 的', '辽宁省国有资产监督管理委员']
['华晨汽车集团控股有限公司', '( 以下 简称 “ 华晨集团 ” ) 转来 的 辽宁省国有资产监督管理委员 ( 以下 简称 “ ” ) 转来 的 辽宁省国有资产监督管理委员 ( 以下 简称 “ ( 以下 简称 “', '辽宁省国资委']
['华晨集团', '” ) 转来 的 辽宁省国有资产监督管理委员 ( 以下 简称 “ ( 以下 简称 “', '辽宁省国资委']
['辽宁省国有资产监督管理委员', '( 以下 简称 “', '辽宁省国资委']
['沈阳市汽车工业资产经营有限公司', '和 沈阳新金杯投资有限公司股权 的 意见 》 和 沈阳工业国有资产经营有限公司 ( 以下 简称 “ 工业国有 ” ) 转来 的 的 意见 》 和 沈阳工业国有资产经营有限公司 ( 以下 简称 “ 工业国有 ” ) 转来 的 ( 以下 简称 “ 工业国有 ” ) 转来 的 ” ) 转来 的', '沈阳市国有资产监督管理委员']
['沈阳新金杯投资有限公司股权', '的 意见 》 和 沈阳工业国有资产经营有限公司 ( 以下 简称 “ 工业国有 ” ) 转来 的 ( 以下 简称 “ 工业国有 ” ) 转来 的 ” ) 转来 的', '沈阳市国有资产监督管理委员']
['沈阳工业国有资产经营有限公司', '( 以下 简称 “', '工业国有']
['沈阳工业国有资产经营有限公司', '( 以下 简称 “ 工业国有 ” ) 转来 的 ” ) 转来 的', '沈阳市国有资产监督管理委员']
['沈阳工业国有资产经营有限公司', '( 以下 简称 “ 工业国有 ” ) 转来 的 沈阳市国有资产监督管理委员 ( 以下 简称 “ ” ) 转来 的 沈阳市国有资产监督管理委员 ( 以下 简称 “ ( 以下 简称 “', '沈阳市国资委']
['工业国有', '” ) 转来 的 沈阳市国有资产监督管理委员 ( 以下 简称 “ ( 以下 简称 “', '沈阳市国资委']
['沈阳市国有资产监督管理委员', '( 以下 简称 “', '沈阳市国资委']
['沈阳市汽车工业资产经营有限公司', '( 以下 简称 “', '汽车工业']
['沈阳市汽车工业资产经营有限公司', '( 以下 简称 “ 汽车工业 ” ) 100 % 的 股权 和 ” ) 100 % 的 股权 和', '沈阳金圣企业集团有限公司']
['沈阳市汽车工业资产经营有限公司', '( 以下 简称 “ 汽车工业 ” ) 100 % 的 股权 和 沈阳金圣企业集团有限公司 ( 以下 简称 “ ” ) 100 % 的 股权 和 沈阳金圣企业集团有限公司 ( 以下 简称 “ ( 以下 简称 “', '金圣集团']
['汽车工业', '” ) 100 % 的 股权 和 沈阳金圣企业集团有限公司 ( 以下 简称 “ ( 以下 简称 “', '金圣集团']
['沈阳金圣企业集团有限公司', '( 以下 简称 “', '金圣集团']
['沈阳新金杯投资有限公司', '( 以下 简称 “', '新金杯投资']
['中国证券登记结算有限责任公司上海分公司', '于 近日 将 云南云维股份有限公司 ( 以下 简称 “ ( 以下 简称 “', '云维股份']
['中国证券登记结算有限责任公司上海分公司', '于 近日 将 云南云维股份有限公司 ( 以下 简称 “ 云维股份 ” 或 “ 公司 ” ) 第二 大股 ( 以下 简称 “ 云维股份 ” 或 “ 公司 ” ) 第二 大股 ” 或 “ 公司 ” ) 第二 大股', '东云南煤化工集团有限公司']
['云南云维股份有限公司', '( 以下 简称 “', '云维股份']
['云南云维股份有限公司', '( 以下 简称 “ 云维股份 ” 或 “ 公司 ” ) 第二 大股 ” 或 “ 公司 ” ) 第二 大股', '东云南煤化工集团有限公司']
['云维股份', '” 或 “ 公司 ” ) 第二 大股', '东云南煤化工集团有限公司']
